Título	Autores	Áreas de Pesquisa	Tipo	Meio de Publicação	Data	Google Scholar	Link	DOI
Rethinking Default Values: a Low Cost and Efficient Strategy to Define Hyperparameters	Rafael Gomes Mantovani, André Luis Debiaso Rossi, Edesio Alcobaça, Jadson Castro Gertrudes, Sylvio Barbon Junior, André Carlos Ponce de Leon Ferreira de Carvalho	Aprendizado de Máquina	Artigo	arXiv	2020-07-31	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&pagesize=80&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:QIV2ME_5wuYC	https://arxiv.org/abs/2008.00025	10.48550/arXiv.2008.00025
Identificaçao de perfis depressivos em redes sociais utilizando aprendizado de máquina: um mapeamento sistemático	Vinicius Casani, Rafael Gomes Mantovani, Alinne Cristinne Correa Souza, Francisco Carlos Monteiro Souza	Aprendizado de Máquina, Processamento de Linguagem Natural	Anais	XI Computer on the Beach	2020-09-04	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&pagesize=80&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:TQgYirikUcIC	https://periodicos.univali.br/index.php/acotb/article/view/16767	10.14210/cotb.v11n1.p183-190
Segmentação de imagens de microrganismos para tarefas preditivas	Lilian de Souza Vismara, Edgar de Souza Vismara, Rafael Gomes Mantovani, Francisco Carlos Monteiro Souza	Processamento de Imagens, Engenharia Biomédica	Anais	VI congresso de ciência e tecnologia da UTFPR-DV (VI CCT-UTFPR-DV)	2021-10-09	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:tzM49s52ZIMC	https://www.researchgate.net/publication/355362192_Segmentacao_de_imagens_de_microrganismos_para_tarefas_preditivas	
 Exploring autoencoders for feature extraction in multi-target classification	Brendon Gouveia Cambuí, Rafael Gomes Mantovani, Ricardo Cerri	Aprendizado de Máquina, Reconhecimento de Padrões	Anais	International Joint Conference on Neural Networks (IJCNN)	2021-07-18	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&pagesize=80&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:e5wmG9Sq2KIC	https://ieeexplore.ieee.org/abstract/document/9533976	10.1109/IJCNN52387.2021.9533976
Feature analysis to league of legends victory prediction on the picks and bans phase	Lincoln Magalhaes Costa, Rafael Gomes Mantovani, Francisco Carlos Monteiro Souza, Geraldo Xexeo	Aprendizado de Máquina, Reconhecimento de Padrões	Anais	IEEE conference on games (CoG)	2021-08-17	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:R3hNpaxXUhUC	https://ieeexplore.ieee.org/abstract/document/9619019	10.1109/CoG52621.2021.9619019
Learning abstract task representations	Mikhail M Meskhi, Adriano Rivolli, Rafael G Mantovani, Ricardo Vilalta	Aprendizado de Máquina	Anais	AAAI Workshop on Meta-Learning and MetaDL Challenge	2021-08-18	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:HDshCWvjkbEC	https://proceedings.mlr.press/v140/meskhi21a	
Time-series in hyper-parameter initialization of machine learning techniques	Tomáš Horváth, Rafael G Mantovani, André C P L F de Carvalho	Aprendizado de Máquina, Reconhecimento de Padrões, Processamento de Sinais	Anais	Intelligent Data Engineering and Automated Learning (IDEAL 2021)	2021-11-23	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:4JMBOYKVnBMC	https://link.springer.com/chapter/10.1007/978-3-030-91608-4_25	10.1007/978-3-030-91608-4_25
DP-Symptom-Identifier: Uma estratégia para classificar sintomas de depressão utilizando um conjunto de dados textuais na língua portuguesa	Vinicius Casani, Alinne C Correa Souza, Rafael G Mantovani, Francisco Carlos M Souza	Aprendizado de Máquina, Reconhecimento de Padrões	Anais	Simpósio Brasileiro de Tecnologia da Informação e da Linguagem Humana (STIL)	2021-11-29	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&cstart=20&pagesize=80&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:RHpTSmoSYBkC	https://sol.sbc.org.br/index.php/stil/article/view/17794	10.5753/stil.2021.17794
An extensive experimental evaluation of automated machine learning methods for recommending classification algorithms	Márcio P Basgalupp, Rodrigo C Barros, Alex Guimarães Cardoso de Sá, Gisele L Pappa, Rafael Gomes Mantovani, André C P L F de Carvalho, Alex Alves Freitas	Aprendizado de Máquina, Computação Bioinspirada	Artigo	Evolutionary Intelligence	2021-12-01	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:9ZlFYXVOiuMC	https://link.springer.com/article/10.1007/s12065-020-00463-z	10.1007/s12065-020-00463-z
Hyper-parameter initialization of classification algorithms using dynamic time warping: A perspective on PCA meta-features	Tomáš Horváth, Rafael G Mantovani, André C P L F de Carvalho	Aprendizado de Máquina, Reconhecimento de Padrões, Processamento de Sinais	Artigo	Applied Soft Computing	2023-02-01	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:HoB7MX3m0LUC	https://www.sciencedirect.com/science/article/abs/pii/S1568494622010183	10.1016/j.asoc.2022.109969
Classificação de textos escolares com aprendizado de máquina	Nelson Dressler, Alinne Correa Souza, Lincoln Magalhães Costa, Francisco Carlos Souza, Rafael Mantovani	Aprendizado de Máquina, Informática na Educação, Processamento de Linguagem Natural	Anais	XIV Computer on the Beach	2023-05-03	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:_xSYboBqXhAC	https://www.researchgate.net/publication/370569431_Classificacao_de_Textos_Escolares_com_Aprendizado_de_Maquina	10.14210/cotb.v14.p432-438
AutoMMLC: An Automated and Multi-objective Method for Multi-label Classification	Aline Marques Del Valle, Rafael Gomes Mantovani, Ricardo Cerri	Aprendizado de Máquina, Computação Bioinspirada, Reconhecimento de Padrões	Anais	Brazilian Conference on Intelligent Systems (BRACIS 2023)	2023-09-25	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:UxriW0iASnsC	https://link.springer.com/chapter/10.1007/978-3-031-45389-2_20	10.1007/978-3-031-45389-2_20
DIFFUSION STUDY OF NaCl AND KCl AT THE SOLUTION/OLIVE INTERFACE: MATHEMATICAL MODELING USING THE FINITE ELEMENT METHOD AND SELF-ORGANIZING FEATURE MAP (SOFM)-TYPE NEURAL NETWORKS	Dionisio Borsato, Marco AJ Clemente, Heloisa HP Silva, Nathan F Silva, Julia W Campos, Eduardo G de Sousa, Hágata C Silva, Karina B Angilelli, Ana CG Mantovani, Rafael G Mantovani 	Processamento de Sinais, Computação Bioinspirada, Aprendizado de Máquina	Artigo	Química Nova	2023-10-09	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:dshw04ExmUIC	https://quimicanova.sbq.org.br/pdf/AR2023-0010	10.21577/0100-4042.20230053 
A systematic literature review on AutoML for multi-target learning tasks	Aline Marques Del Valle, Rafael Gomes Mantovani, Ricardo Cerri	Aprendizado de Máquina, Computação Bioinspirada	Artigo	Artificial Intelligence Review	2023-11-01	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:KxtntwgDAa4C	https://link.springer.com/article/10.1007/s10462-023-10569-2	10.1007/s10462-023-10569-2
Classification of the growth level of fungal colonies in solid medium: a machine learning approach	Edgar de Souza Vismara, Lilian de Souza Vismara, José Luis Seixas Junior, Francisco Carlos Monteiro Souza, Rafael Gomes Mantovani	Processamento de Imagens, Aprendizado de Máquina, Reconhecimento de Padrões	Artigo	Expert Systems with Applications	2023-12-01	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:1sJd4Hv_s6UC	https://www.sciencedirect.com/science/article/abs/pii/S095741742301374X	10.1016/j.eswa.2023.120872
Better trees: an empirical study on hyperparameter tuning of classification decision tree induction algorithms 	Rafael Gomes Mantovani, Tomas Horvath, André Luis Debiaso Rossi, Ricardo Cerri, Sylvio Barbon Junior, Joaquin Vanschoren, André. C. P. L. F. Carvalho	Aprendizado de Máquina, Reconhecimento de Padrões	Artigo	Data Mining and Knowledge Discovery	2024-01-31	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:eq2jaN3J8jMC	https://link.springer.com/article/10.1007/s10618-024-01002-5	10.1007/s10618-024-01002-5
An Exploratory Analysis on Gender-Related Dropout Students in Distance Learning Higher Education using Machine Learning	Gilmar Santos, Alinne Souza, Rafael Mantovani, Robinson Cruz, Thiago Cordeiro, Francisco Souza	Aprendizado de Máquina, Informática na Educação, Reconhecimento de Padrões	Anais	20th Brazilian Symposium on Information Systems	2024-05-20	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:B3FOqHPlNUQC	https://dl.acm.org/doi/abs/10.1145/3658271.3658323	10.1145/3658271.365832
Image Classification for Precision Agriculture: A Coffee Study Case	Julio Ribeiro, Matheus Mileski, José Luis Seixas Junior, Luiz Fernando Carvalho, Rafael Gomes Mantovani	Processamento de Imagens, Aprendizado de Máquina, Computação Bioinspirada	Anais	XV Computer on the Beach	2024-05-28	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:geHnlv5EZngC	https://periodicos.univali.br/index.php/acotb/article/view/20331	10.14210/cotb.v15.p088-095
Semantic Segmentation of MiceWounds	Bruno Uhlmann Marcato, Soraia Mendes Pierotti, Patricia Durgante Ritter, Camila Rodrigues Ferraz, Waldiceu Aparecido Verri Jr, Rubia Casagrande, José Luis Seixas Junior, Rafael Gomes Mantovani	Processamento de Imagens, Aprendizado de Máquina, Bioinformática, Engenharia Biomédica	Anais	XV Computer on the Beach	2024-05-28	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:8AbLer7MMksC	https://periodicos.univali.br/index.php/acotb/article/view/20320	10.14210/cotb.v15.p023-029
Sentiment Analysis in Social Networks during the 2021 and 2022 Formula 1 Seasons: A Study Using Natural Language Processing on Twitter	Matheus Mileski, Daniel Prado Campos, Luiz Fernando Carvalho, Rafael Gomes Mantovani	Processamento de Linguagem Natural, Aprendizado de Máquina, Reconhecimento de Padrões	Anais	XV Computer on the Beach	2024-05-28	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:5Ul4iDaHHb8C	https://periodicos.univali.br/index.php/acotb/article/view/20360	10.14210/cotb.v15.p236-243
Automating Dungeon Level Design using Search-based Procedural Generation	Arthur R Pinheiro So, Alinne C Corrêa Souza, Lincoln M Costa, Rafael G Mantovani, Francisco Carlos M Souz	Computação Bioinspirada, Aprendizado de Máquina	Anais	Simpósio Brasileiro de Jogos e Entretenimento Digital (SBGames)	2024-09-30	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:35r97b3x0nAC	https://sol.sbc.org.br/index.php/sbgames_estendido/article/view/32008	10.5753/sbgames_estendido.2024.241254
Design and Evaluation of a Procedurally Generated Dungeon Game	Arthur R Pinheiro So, Alinne C Corrêa Souza, Lincoln M Costa, Rafael G Mantovani, Francisco Carlos M Souza	Computação Bioinspirada, Aprendizado de Máquina	Anais	Simpósio Brasileiro de Jogos e Entretenimento Digital (SBGames)	2024-09-30	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:-_dYPAW6P2MC	https://sol.sbc.org.br/index.php/sbgames/article/view/32321	10.5753/sbgames.2024.241270
Investigating Student Dropout Risk in Higher Education through Machine Learning	Pedro Mian Parra, Muriel de Souza Godoi, Francisco Carlos Monteiro Souza, Alinne C Correa Souza, Edgar de Souza Vismara, Rafael Gomes Mantovani	Aprendizado de Máquina, Informática na Educação, Reconhecimento de Padrões	Anais	Simpósio Brasileiro de Informática na Educação (SBIE)	2024-11-04	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:j8SEvjWlNXcC	https://sol.sbc.org.br/index.php/sbie/article/view/31464	10.5753/sbie.2024.244900
Automatic Area Estimation of Mice Wound Images	Bruno Uhlmann Marcato, Camila Rodrigues Ferraz, Waldiceu Aparecido Verri Jr, Rubia Casagrande, Daniel Prado Campos, José Luis Seixas Junior, Rafael Gomes Mantovani	Processamento de Imagens, Aprendizado de Máquina, Bioinformática, Engenharia Biomédica	Anais	Symposium on Knowledge Discovery, Mining and Learning (KDMiLe) 	2024-11-17	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:evX43VCCuoAC	https://sol.sbc.org.br/index.php/kdmile/article/view/30941	10.5753/kdmile.2024.241973
A Review on the Recent use of Machine Learning for Gesture Recognition using Myoelectric Signals	Gabriel Molina de Lima, Daniel Prado Campos, Rafael Gomes Mantovani	Processamento de Sinais, Aprendizado de Máquina, Reconhecimento de Padrões, Engenharia Biomédica	Anais	Encontro Nacional de Inteligência Artificial e Computacional (ENIAC)	2024-11-17	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:uJ-U7cs_P_0C	https://sol.sbc.org.br/index.php/eniac/article/view/33792	10.5753/eniac.2024.245071
Music Genre Recognition with Handcrafted Audio Features	André Luís de Oliveira, Luiz Fernando Carvalho, Daniel Prado Campos, Rafael Gomes Mantovani	Processamento de Sinais, Aprendizado de Máquina, Reconhecimento de Padrões	Anais	Encontro Nacional de Inteligência Artificial e Computacional (ENIAC)	2024-11-17	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:VLnqNzywnoUC	https://sol.sbc.org.br/index.php/eniac/article/view/33823	10.5753/eniac.2024.245072
Novel applications of item response theory for analysing data set complexity and benchmark selection	João Luiz Junho Pereira, Alfredo Antonio Alencar Exposito de Queiroz, Telmo de Menezes e Silva Filho, Ana Carolina Lorena, Rafael Gomes Mantovani, Gisele Lobo Pappa, Ricardo Bastos Cavalcante Prudêncio	Aprendizado de Máquina, Reconhecimento de Padrões	Artigo	Machine Learning	2025-08-29	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=lRFTBFgAAAAJ&sortby=pubdate&citation_for_view=lRFTBFgAAAAJ:t7zJ5fGR-2UC	https://link.springer.com/article/10.1007/s10994-025-06873-3	10.1007/s10994-025-06873-3
Near real-time security system applied to SDN environments in IoT networks using convolutional neural network	Marcos VO de Assis, Luiz F Carvalho, Joel JPC Rodrigues, Jaime Lloret, Mario L Proença Jr	Segurança da Informação, Aprendizado de Máquina, Redes de Computadores	Artigo	Computers & Electrical Engineering	2020-09-01	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:kNdYIx-mwKoC	https://www.sciencedirect.com/science/article/abs/pii/S0045790620305930	10.1016/j.compeleceng.2020.106738
A GRU deep learning system against attacks in software defined networks	Marcos VO Assis, Luiz F Carvalho, Jaime Lloret, Mario L Proença Jr	Segurança da Informação, Aprendizado de Máquina, Redes de Computadores	Artigo	Journal of Network and Computer Applications	2021-03-01	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:Zph67rFs4hoC	https://www.sciencedirect.com/science/article/abs/pii/S1084804520304008	10.1016/j.jnca.2020.102942
Adversarial Deep Learning approach detection and defense against DDoS attacks in SDN environments	Matheus P Novaes, Luiz F Carvalho, Jaime Lloret, Mario Lemes Proença Jr	Segurança da Informação, Aprendizado de Máquina, Redes de Computadores	Artigo	Future Generation Computer Systems	2021-12-01	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:KlAtU1dfN6UC	https://www.sciencedirect.com/science/article/abs/pii/S0167739X21002429	10.1016/j.future.2021.06.047
Unsupervised online anomaly detection in Software Defined Network environments	Gustavo Frigo Scaranti, Luiz Fernando Carvalho, Sylvio Barbon Junior, Jaime Lloret, Mario Lemes Proença Jr	Segurança da Informação, Aprendizado de Máquina, Redes de Computadores	Artigo	Expert Systems with Applications	2022-04-01	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:ULOm3_A8WrAC	https://www.sciencedirect.com/science/article/abs/pii/S0957417421015384	10.1016/j.eswa.2021.116225
A gated recurrent unit deep learning model to detect and mitigate distributed denial of service and portscan attacks	Daniel M Brandao Lent, Matheus P Novaes, Luiz F Carvalho, Jaime Lloret, Joel JPC Rodrigues, Mario Lemes Proença	Segurança da Informação, Aprendizado de Máquina, Processamento de Sinais, Redes de Computadores	Artigo	IEEE Access	2022-07-12	https://scholar.google.com.br/citations?view_op=view_citation&hl=pt-PT&user=bfLvZN4AAAAJ&sortby=pubdate&citation_for_view=bfLvZN4AAAAJ:YOwf2qJgpHMC	https://ieeexplore.ieee.org/abstract/document/9826720	10.1109/ACCESS.2022.3190008
